Art des Termins;Außer Haus;Beginn;Benachrichtigung überspringen;Betreff;Dauer;Ende;Erzeugt am;Ganztägiges Ereignis;Geändert am;Ist ohne Veranstaltung;Kategorie;Klassifikation;Notizen;Ort;Titel;Titel;Typ;GGUID
;false;13.04.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;13.04.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;708B30CC50D831EC8AF9B69016AACDA7
;false;13.04.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;13.04.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;1FC59054BCB13B0F8ECC3F0146808E68
;false;20.04.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;20.04.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;17B2192C23733A4B8A0020B53B300FC2
;false;20.04.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;20.04.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;AD0FBCF60D643432BD56C76D6A9D2A73
;false;27.04.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;27.04.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;8B71507EC2AD38B5B4481942C24905B3
;false;27.04.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;27.04.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;471C180266FD328B954039862C5652F4
;false;04.05.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;04.05.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;671E6F1280F7365EB6F8A1D1F99FE1B0
;false;04.05.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;04.05.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;D2D30C1FEF61345197CC8C93A3F3301E
;false;11.05.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;11.05.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;01F54D5916C93068A559E1BB21FE51C6
;false;11.05.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;11.05.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;9D89D6B753D6364DB340BCCB73B8D956
;false;18.05.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;18.05.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;CE26D5C9C0E73DE7B8C6B6EAA1DCDA48
;false;18.05.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;18.05.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;4DEEC51E07293CF8A94248C50AB2F873
;false;01.06.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;01.06.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;026C91BE79AB3B83ABD78618427352C9
;false;01.06.2026 15:15;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;01.06.2026 16:45;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;1AF7079D7A653C6BB2F747A9173FB188
;false;08.06.2026 13:30;false;Intelligent Agents: Retrieval, Reasoning, and Action;0,06250000;08.06.2026 15:00;10.04.2026 21:47:12;false;10.04.2026 21:47:12;false;;;;G3-E.15-16;Intelligent Agents: Retrieval, Reasoning, and Action;Intelligent Agents: Retrieval, Reasoning, and Action;;3A538DEA3234387E88BC1B16267ED453
